Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
MatjiesRd1_comptonii_DC/0114_0117_b8,0.096270901,0.036183295,41324,0.096270901,0.036183295,0.091379916,0.034101768,0.077758199,0.025890980
MatjiesRd1_comptonii_DC/0114_0117_b9,0.020757686,0.010592447,230076,0.020757686,0.010592447,0.014050351,0.009112623,0.015173479,0.006745963
MatjiesRd1_comptonii_DC/0114_0117_c1,0.072906352,0.024335814,6529,0.072906352,0.024335814,0.053526471,0.021528427,0.018192696,0.011292766
MatjiesRd1_comptonii_DC/0114_0117_c2,0.070119717,0.031247840,17248,0.070119717,0.031247840,0.051458151,0.027946601,0.018533740,0.016660661
MatjiesRd1_comptonii_DC/0114_0117_c3,0.064511557,0.022802734,8560,0.064511557,0.022802734,0.047082663,0.019560453,0.015597701,0.009955223
MatjiesRd1_comptonii_DC/0114_0117_p1,0.020757686,0.010592447,230076,0.020757686,0.010592447,0.014050351,0.009112623,0.015173479,0.006745963
MatjiesRd1_comptonii_DC/0114_0117_p2,0.214130609,0.056055618,154116,0.214130609,0.056055618,0.203071549,0.054263685,0.157183529,0.048641745
MatjiesRd1_comptonii_DC/0114_0117_p3,0.132883125,0.041216106,120030,0.132883125,0.041216106,0.123311847,0.040432539,0.086350813,0.031937553
MatjiesRd1_comptonii_DC/0114_0117_p4,0.078035913,0.040839461,83558,0.078035913,0.040839461,0.074810961,0.037257107,0.063102743,0.025285936
MatjiesRd1_comptonii_DC/0120_0123_a1,0.117248331,0.034067788,37549,0.117248331,0.034067788,0.111434449,0.031839887,0.076956853,0.023640686
MatjiesRd1_comptonii_DC/0120_0123_a2,0.105149059,0.040358458,36215,0.105149059,0.040358458,0.101313147,0.037724187,0.074527726,0.026468933
MatjiesRd1_comptonii_DC/0120_0123_b1,0.219312499,0.061546242,6790,0.219312499,0.061546242,0.194783605,0.057726830,0.119235827,0.041586464
MatjiesRd1_comptonii_DC/0120_0123_b10,0.031675121,0.012550295,22977,0.031675121,0.012550295,0.024822763,0.010857584,0.019121469,0.006737159
MatjiesRd1_comptonii_DC/0120_0123_b11,0.165977177,0.055435324,170017,0.165977177,0.055435324,0.156677400,0.052172598,0.110724598,0.036790147
MatjiesRd1_comptonii_DC/0120_0123_b12,0.328460083,0.062153863,182153,0.328460083,0.062153863,0.301449854,0.062278622,0.205854872,0.049462054
MatjiesRd1_comptonii_DC/0120_0123_b13,0.195961185,0.062528065,235716,0.195961185,0.062528065,0.185287178,0.059760260,0.140240872,0.046230160
MatjiesRd1_comptonii_DC/0120_0123_b14,0.018145592,0.011506722,111122,0.018145592,0.011506722,0.010828642,0.009718766,0.005241575,0.005608539
MatjiesRd1_comptonii_DC/0120_0123_b15,0.124336365,0.055603118,600810,0.124336365,0.055603118,0.101814593,0.049687910,0.062543826,0.028203890
MatjiesRd1_comptonii_DC/0120_0123_b16,0.072175937,0.031218253,28183,0.072175937,0.031218253,0.069438585,0.030137962,0.058292117,0.024360355
