Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD,vsMean,vsSD,dblMean,dblSD
aggeneys_olivacea_CDE/CDE_b03_b9,0.182257967,0.043339865,6662,0.182257967,0.043339865,0.087680867,0.033209786,0.037661956,0.024768565,0.028967135,0.017366234,0.107337964,0.033646068
aggeneys_olivacea_CDE/CDE_b04_a1,0.159409226,0.087452582,69392,0.159409226,0.087452582,0.127500684,0.060501769,0.104277895,0.048771782,0.090711296,0.034900595,0.132323226,0.066410948
aggeneys_olivacea_CDE/CDE_b04_a2,0.162784587,0.055788382,64010,0.162784587,0.055788382,0.122108052,0.039852559,0.100956553,0.034333894,0.089112995,0.026529279,0.129692339,0.042889705
aggeneys_olivacea_CDE/CDE_b04_a3,0.148155216,0.053995176,43852,0.148155216,0.053995176,0.115769618,0.036544605,0.095768138,0.030136974,0.085433071,0.022594717,0.121111900,0.040268475
aggeneys_olivacea_CDE/CDE_b04_b1,0.203479917,0.096563280,283311,0.203479917,0.096563280,0.149677065,0.070507257,0.118241657,0.057982982,0.103223797,0.044957135,0.159926086,0.075522093
aggeneys_olivacea_CDE/CDE_b04_b10,0.183321093,0.026057662,579,0.183321093,0.026057662,0.103005826,0.021178962,0.068211797,0.013859449,0.057877598,0.009938698,0.120480324,0.020866183
aggeneys_olivacea_CDE/CDE_b04_b11,0.400136984,0.087249152,11525,0.400136984,0.087249152,0.273468901,0.068560705,0.218728042,0.055820545,0.179538771,0.042163827,0.302599604,0.070554918
aggeneys_olivacea_CDE/CDE_b04_b12,0.415912516,0.060346939,24501,0.415912516,0.060346939,0.269706477,0.048630587,0.193263005,0.041270219,0.150048988,0.031837984,0.301693818,0.049674522
aggeneys_olivacea_CDE/CDE_b04_b13,0.404679691,0.091660527,53184,0.404679691,0.091660527,0.286066792,0.091320842,0.229278005,0.088943731,0.188834845,0.074763185,0.312682342,0.090062554
aggeneys_olivacea_CDE/CDE_b04_b14,0.543934748,0.159275071,180,0.543934748,0.159275071,0.461681066,0.149864776,0.417134903,0.125059299,0.331045877,0.099895178,0.479979199,0.148810707
aggeneys_olivacea_CDE/CDE_b04_b15,0.287152200,0.071735413,21409,0.287152200,0.071735413,0.169506380,0.050698318,0.122294144,0.040687578,0.104366937,0.031609587,0.196629825,0.054224168
aggeneys_olivacea_CDE/CDE_b04_b16,0.245240844,0.062398038,14937,0.245240844,0.062398038,0.163068456,0.050282679,0.125315614,0.043209639,0.108498549,0.035001029,0.181011521,0.052091201
aggeneys_olivacea_CDE/CDE_b04_b17,0.139490196,0.048835023,7443,0.139490196,0.048835023,0.111805838,0.038696159,0.090273461,0.032384817,0.080631770,0.026016994,0.115708152,0.040292101
aggeneys_olivacea_CDE/CDE_b04_b2,0.325444059,0.095578424,345057,0.325444059,0.095578424,0.218843415,0.075128587,0.170584387,0.063824683,0.143838984,0.050062154,0.242799684,0.078106152
aggeneys_olivacea_CDE/CDE_b04_b3,0.239667002,0.062448456,25436,0.239667002,0.062448456,0.198905880,0.054345007,0.164305626,0.049663331,0.140193897,0.040997397,0.205335743,0.055671646
aggeneys_olivacea_CDE/CDE_b04_b4,0.372849211,0.070819058,24621,0.372849211,0.070819058,0.227237874,0.061164731,0.170862479,0.050331454,0.143325930,0.037599251,0.261614685,0.059790087
aggeneys_olivacea_CDE/CDE_b04_b5,0.270804738,0.062276637,4405,0.270804738,0.062276637,0.203419754,0.045325292,0.156154668,0.037157012,0.127608897,0.027691820,0.215925301,0.047719411
