,Label,lumMean,lumSD,area,lwMean,lwSD,swMean,swSD
34466,SidiBarani_verruculosa_EF/1269_1272_c1,0.096972643,0.054429002,14875,0.096972643,0.054429002,0.051773765,0.027231279
34467,SidiBarani_verruculosa_EF/1269_1272_c2,0.13982219,0.058675532,11548,0.13982219,0.058675532,0.066986688,0.026073903
34468,SidiBarani_verruculosa_EF/1269_1272_c3,0.14745847,0.056974846,5793,0.14745847,0.056974846,0.075473066,0.025191701
34469,SidiBarani_verruculosa_EF/1269_1272_c4,0.161087512,0.057803903,37219,0.161087512,0.057803903,0.075239501,0.025251474
34470,SidiBarani_verruculosa_EF/1284_1287_a1a,0.229811201,0.086183224,71139,0.229811201,0.086183224,0.147094815,0.043998943
34471,SidiBarani_verruculosa_EF/1284_1287_a1b,0.253083899,0.0771043,69569,0.253083899,0.0771043,0.160621299,0.038522588
34472,SidiBarani_verruculosa_EF/1284_1287_a2a,0.272247226,0.081051958,71614,0.272247226,0.081051958,0.170533904,0.042894896
34473,SidiBarani_verruculosa_EF/1284_1287_a2b,0.265413732,0.084271754,76256,0.265413732,0.084271754,0.172515817,0.051705883
34474,SidiBarani_verruculosa_EF/1284_1287_b1,0.401684135,0.052074692,123675,0.401684135,0.052074692,0.308469773,0.040581827
34475,SidiBarani_verruculosa_EF/1284_1287_b10,0.240320837,0.08582863,29685,0.240320837,0.08582863,0.16528644,0.05880791
34476,SidiBarani_verruculosa_EF/1284_1287_b11,0.122952733,0.05070714,7041,0.122952733,0.05070714,0.063730284,0.027404929
34477,SidiBarani_verruculosa_EF/1284_1287_b12,0.20977,0.0838252,7682,0.20977,0.0838252,0.12349731,0.044868617
34478,SidiBarani_verruculosa_EF/1284_1287_b13,0.366806373,0.067960565,39269,0.366806373,0.067960565,0.26774681,0.057960806
34479,SidiBarani_verruculosa_EF/1284_1287_b14,0.196234362,0.053013069,14602,0.196234362,0.053013069,0.12115131,0.036379873
34480,SidiBarani_verruculosa_EF/1284_1287_b15,0.206174431,0.055172178,4675,0.206174431,0.055172178,0.116775936,0.03028002
34481,SidiBarani_verruculosa_EF/1284_1287_b16,0.235324087,0.111556109,7258,0.235324087,0.111556109,0.140811584,0.066147927
34482,SidiBarani_verruculosa_EF/1284_1287_b2,0.143273507,0.067073953,5343,0.143273507,0.067073953,0.074367483,0.028292702
34483,SidiBarani_verruculosa_EF/1284_1287_b3,0.123308161,0.034891881,6609,0.123308161,0.034891881,0.067194902,0.018849984
34484,SidiBarani_verruculosa_EF/1284_1287_b4,0.292509537,0.036523502,28791,0.292509537,0.036523502,0.221304143,0.031623465
34485,SidiBarani_verruculosa_EF/1284_1287_b5,0.539825924,0.108480993,337950,0.539825924,0.108480993,0.439204289,0.088368202
34486,SidiBarani_verruculosa_EF/1284_1287_b6,0.253185618,0.07957765,2039,0.253185618,0.07957765,0.150579701,0.060586393
34487,SidiBarani_verruculosa_EF/1284_1287_b7,0.148010661,0.027993001,447,0.148010661,0.027993001,0.070781835,0.01195582
34488,SidiBarani_verruculosa_EF/1284_1287_b8,0.136120586,0.051005758,1382,0.136120586,0.051005758,0.080524035,0.026116572
34489,SidiBarani_verruculosa_EF/1284_1287_b9,0.341814306,0.058160375,43824,0.341814306,0.058160375,0.254291305,0.047188983
34490,SidiBarani_verruculosa_EF/1284_1287_c1,0.107377838,0.036153963,6114,0.107377838,0.036153963,0.050576561,0.017015536
34491,SidiBarani_verruculosa_EF/1284_1287_c2,0.092576019,0.038293918,7763,0.092576019,0.038293918,0.048613299,0.017300944
34492,SidiBarani_verruculosa_EF/1284_1287_p1,0.539825924,0.108480993,337950,0.539825924,0.108480993,0.439204289,0.088368202
34493,SidiBarani_verruculosa_EF/1284_1287_p2,0.122952733,0.05070714,7041,0.122952733,0.05070714,0.063730284,0.027404929
34494,SidiBarani_verruculosa_EF/1308_1311_a1a,0.23572503,0.080261132,40861,0.23572503,0.080261132,0.152017482,0.048351763
34495,SidiBarani_verruculosa_EF/1308_1311_a1b,0.253361561,0.125810755,30002,0.253361561,0.125810755,0.14062005,0.071177987
34496,SidiBarani_verruculosa_EF/1308_1311_a2a,0.15675021,0.055995667,41967,0.15675021,0.055995667,0.092893191,0.030893277
34497,SidiBarani_verruculosa_EF/1308_1311_a2b,0.207895597,0.055628576,37672,0.207895597,0.055628576,0.138729719,0.029740146
34498,SidiBarani_verruculosa_EF/1308_1311_b1,0.298971344,0.135636211,118336,0.298971344,0.135636211,0.177745318,0.076010794
34499,SidiBarani_verruculosa_EF/1308_1311_b2,0.346414734,0.134381983,39687,0.346414734,0.134381983,0.206320919,0.08122756
34500,SidiBarani_verruculosa_EF/1308_1311_b3,0.144608463,0.076807338,25668,0.144608463,0.076807338,0.106347613,0.051799844
34501,SidiBarani_verruculosa_EF/1308_1311_b4,0.405039817,0.055939304,118202,0.405039817,0.055939304,0.339479241,0.059884352
34502,SidiBarani_verruculosa_EF/1308_1311_b5,0.133213603,0.045772406,13774,0.133213603,0.045772406,0.085590503,0.024192278
34503,SidiBarani_verruculosa_EF/1308_1311_b6,0.443524219,0.12965499,19430,0.443524219,0.12965499,0.278294163,0.07994982
34504,SidiBarani_verruculosa_EF/1308_1311_b7,0.138190397,0.06363294,8937,0.138190397,0.06363294,0.065678389,0.030106124
34505,SidiBarani_verruculosa_EF/1308_1311_c1,0.117567862,0.060793112,100128,0.117567862,0.060793112,0.066074562,0.027177826
34506,SidiBarani_verruculosa_EF/1308_1311_c2,0.094109187,0.045352199,37972,0.094109187,0.045352199,0.045705418,0.022690537
34507,SidiBarani_verruculosa_EF/1308_1311_c2,0.101134335,0.048403791,14733,0.101134335,0.048403791,0.053529392,0.021751868
34508,SidiBarani_verruculosa_EF/1308_1311_c4,0.098449247,0.046915004,26113,0.098449247,0.046915004,0.043226322,0.02074539
34509,SidiBarani_verruculosa_EF/1308_1311_c5,0.091712757,0.052379135,26254,0.091712757,0.052379135,0.0450053,0.027859358
34510,SidiBarani_verruculosa_EF/1308_1311_g1,0.080440849,0.042964858,37836,0.080440849,0.042964858,0.045124135,0.022026642
34511,SidiBarani_verruculosa_EF/1308_1311_p1,0.405039817,0.055939304,118202,0.405039817,0.055939304,0.339479241,0.059884352
34512,SidiBarani_verruculosa_EF/1320_1323_a1a,0.166493046,0.062366163,86575,0.166493046,0.062366163,0.100180086,0.030442862
34513,SidiBarani_verruculosa_EF/1320_1323_a1b,0.20400242,0.054120986,99647,0.20400242,0.054120986,0.118188332,0.028100315
34514,SidiBarani_verruculosa_EF/1320_1323_a2a,0.180192441,0.046661916,95598,0.180192441,0.046661916,0.111844507,0.024070521
34515,SidiBarani_verruculosa_EF/1320_1323_a2b,0.221224991,0.077357131,89424,0.221224991,0.077357131,0.126122637,0.037967149
